Securities,14:25:01.755133,14:26:23.886372,14:27:43.429532,14:29:04.032620,14:30:25.675663,14:31:45.515038,14:33:05.726138,14:34:25.209270,14:35:43.776618,14:37:03.462193,14:38:23.953261
Crude Oil Jan 17,50.3300,50.2900,50.2900,50.2900,50.3300,50.3300,50.3300,50.3300,50.3300,50.3300,50.3300
FTSE 100,"6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,986.5700"
EUR/USD,1.0901,1.0912,1.0912,1.0912,1.0901,1.0901,1.0901,1.0901,1.0901,1.0901,1.0901
VODAFONE GRP,226.1000,226.1000,226.1000,226.1000,226.1000,226.1000,226.1000,226.1000,226.1000,226.1000,226.1000
Deutsche Bank AG,13.3750,13.3750,13.3750,13.3750,13.3750,13.3750,13.3750,13.3750,13.3750,13.3750,13.3750
Platinum Jul 17,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000
Natural Gas Aug 17,3.0910,3.0910,3.0910,3.0910,3.0910,3.0910,3.0910,3.0910,3.0910,3.0910,3.0910
Apple Inc.,114.4800,114.4800,114.4800,114.4800,114.4800,114.4800,114.4800,114.4800,114.4800,114.4800,114.4800
Ten-Year US Treasury Note Futures,129.4063,129.3906,129.3906,129.3906,129.4063,129.4063,129.4063,129.4063,129.4063,129.4063,129.4063
Orange Juice Mar 16,207.3000,207.3000,207.3000,207.3000,207.3000,207.3000,207.3000,207.3000,207.3000,207.3000,207.3000
Coffee Dec 16,164.8000,164.8000,164.8000,164.8000,164.8000,164.8000,164.8000,164.8000,164.8000,164.8000,164.8000
Bank of America,16.9100,16.9100,16.9100,16.9100,16.9100,16.9100,16.9100,16.9100,16.9100,16.9100,16.9100
Copper Dec 16,2.1645,2.1665,2.1665,2.1665,2.1645,2.1645,2.1645,2.1645,2.1645,2.1645,2.1645
Silver Dec 16,17.6500,17.6700,17.6700,17.6700,17.6700,17.6700,17.6700,17.6700,17.6500,17.6500,17.6500
Corn Dec 16,357.5000,357.2500,357.2500,357.2500,357.5000,357.5000,357.5000,357.5000,357.5000,357.5000,357.5000
Lumber Nov 16,304.4000,304.4000,304.4000,304.4000,304.4000,304.4000,304.4000,304.4000,304.4000,304.4000,304.4000
"S&P 500 Index, RTH","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400","2,133.0400"
Euro Bund Future - Mar 17,163.9800,163.8400,163.8400,163.8400,163.9800,163.9800,163.9800,163.9800,163.9800,163.9800,163.9800
Gold Dec 16,"1,269.4000","1,269.6000","1,269.6000","1,269.6000","1,269.6000","1,269.6000","1,269.6000","1,269.6000","1,269.4000","1,269.4000","1,269.4000"
Royal Mail,490.0000,490.0000,490.0000,490.0000,490.0000,490.0000,490.0000,490.0000,490.0000,490.0000,490.0000
GBP/USD,1.2161,1.2166,1.2166,1.2166,1.2161,1.2161,1.2161,1.2161,1.2161,1.2161,1.2161
Brent Crude Mar 17,51.5800,51.5600,51.5600,51.5600,51.5800,51.5800,51.5800,51.5800,51.5800,51.5800,51.5800
Alibaba Group Holding Inc.,102.3800,102.3800,102.3800,102.3800,102.3800,102.3800,102.3800,102.3800,102.3800,102.3800,102.3800
Barclays PLC,190.5000,190.5000,190.5000,190.5000,190.5000,190.5000,190.5000,190.5000,190.5000,190.5000,190.5000
Facebook Inc.,129.6900,129.6900,129.6900,129.6900,129.6900,129.6900,129.6900,129.6900,129.6900,129.6900,129.6900
Glencore,243.4000,243.4000,243.4000,243.4000,243.4000,243.4000,243.4000,243.4000,243.4000,243.4000,243.4000
Go Pro Inc.,13.7300,13.7300,13.7300,13.7300,13.7300,13.7300,13.7300,13.7300,13.7300,13.7300,13.7300
Pearson plc,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000
"Tesla Motors, Inc",204.0100,204.0100,204.0100,204.0100,204.0100,204.0100,204.0100,204.0100,204.0100,204.0100,204.0100
10yr Euro Bund - Dec 16,161.9700,161.9500,161.9500,161.9500,161.9700,161.9700,161.9700,161.9700,161.9700,161.9700,161.9700
