Securities,14:26:23.235064,14:27:44.018763,14:29:02.263374,14:30:34.178176,14:31:52.986157,14:33:12.499194,14:34:35.244641,14:35:54.191862
Crude Oil Jan 17,50.2000,50.4600,50.4600,50.4600,50.4600,50.4800,50.4800,50.4800
FTSE 100,"6,973.6400","6,986.5700","6,986.5700","6,986.5700","6,986.5700","6,961.1200","6,961.1200","6,961.1200"
EUR/USD,1.0915,1.0901,1.0901,1.0901,1.0901,1.0918,1.0918,1.0918
VODAFONE GRP,226.2000,226.1000,226.1000,226.1000,226.1000,225.3500,225.3500,225.3500
Deutsche Bank AG,13.3800,13.3750,13.3750,13.3750,13.3750,13.3850,13.3850,13.3850
Platinum Jul 17,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000,970.5000
Natural Gas Aug 17,3.0600,3.0600,3.0600,3.0600,3.0600,3.0930,3.0930,3.0930
Apple Inc.,115.2799,114.9800,114.9800,114.9800,114.9800,114.9300,114.9300,114.9300
Ten-Year US Treasury Note Futures,129.4375,129.4688,129.4688,129.4688,129.4688,129.3594,129.3594,129.3594
Orange Juice Mar 16,209.4500,209.4500,209.4500,209.4500,209.4500,208.3500,208.3500,208.3500
Coffee Dec 16,164.8500,164.8500,164.8500,164.8500,164.8500,164.9000,164.9000,164.9000
Bank of America,16.9350,17.0250,17.0250,17.0250,17.0250,16.9050,16.9050,16.9050
Copper Dec 16,2.1535,2.1635,2.1635,2.1635,2.1635,2.1585,2.1585,2.1585
Silver Dec 16,17.6450,17.6450,17.6450,17.6450,17.6450,17.6150,17.6150,17.6150
Corn Dec 16,353.2500,357.7500,357.7500,357.7500,357.7500,357.5000,357.5000,357.5000
Lumber Nov 16,306.9000,306.9000,306.9000,306.9000,306.9000,306.1000,306.1000,306.1000
"S&P 500 Index, RTH","2,141.7000","2,141.7000","2,141.7000","2,141.7000","2,141.7000","2,135.7700","2,135.7700","2,135.7700"
Euro Bund Future - Mar 17,164.1700,164.0000,164.0000,164.0000,164.0000,163.8100,163.8100,163.8100
Gold Dec 16,"1,267.9000","1,270.7000","1,270.7000","1,270.7000","1,270.7000","1,270.5000","1,270.5000","1,270.5000"
Royal Mail,490.0000,490.0000,490.0000,490.0000,490.0000,489.3000,489.3000,489.3000
GBP/USD,1.2190,1.2173,1.2173,1.2173,1.2173,1.2173,1.2173,1.2173
Brent Crude Mar 17,51.4800,51.7200,51.7200,51.7200,51.7200,51.7300,51.7300,51.7300
Alibaba Group Holding Inc.,102.7300,102.7300,102.7300,102.7300,102.7300,102.4600,102.4600,102.4600
Barclays PLC,189.7500,190.5000,190.5000,190.5000,190.5000,190.0000,190.0000,190.0000
Facebook Inc.,130.9800,129.8692,129.8692,129.8692,129.8692,130.1833,130.1833,130.1833
Glencore,242.4000,243.4000,243.4000,243.4000,243.4000,241.0500,241.0500,241.0500
Go Pro Inc.,14.2000,14.2000,14.2000,14.2000,14.2000,14.2700,14.2700,14.2700
Pearson plc,742.5000,743.0000,743.0000,743.0000,743.0000,740.7500,740.7500,740.7500
"Tesla Motors, Inc",213.0300,203.4820,203.4820,203.4820,203.4820,210.9638,210.9638,210.9638
10yr Euro Bund - Dec 16,162.1500,161.9800,161.9800,161.9800,161.9800,161.8000,161.8000,161.8000
